乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
旅游市场逐步回暖，7月，厦门机场日均运行440架次，国内航班已经恢复到了疫情前的80% 。	The tourism market is recovering gradually, and in July, Xiamen Airport operated an average of 440 flights per day, and domestic flights have recovered to 80% of the pre-pandemic level.	The tourist market has gradually rebounded, and in July, Xiamen Airport ran an average of 440 flights a day, and domestic flights have returned to 80 of what they	The tourism market has gradually picked up, with Xiamen Airport running an average of 440 flights a day in July, and domestic flights have returned to 80 percent of pre-epidemic levels.
航空公司加密了厦门至上海、北京、昆明、西安等主要城市的空中快线，抢占复苏后的旅游市场。	Airlines have increased the air express lanes from Xiamen to Shanghai, Beijing, Kunming, Xi'an and other major cities to seize the revived tourism market.	Airlines have encrypted the air express from Xiamen to major cities such as Shanghai, Beijing, Kunming and Xi'an, robbing the post-resumption travel market.	The airline has encrypted air express services from Xiamen to major cities such as Shanghai, Beijing, Kunming and Xi'an to seize the resurgent travel market.
目前，厦门多家旅行社陆续上线一批暑期国内跨省游产品，团队行程主要以室外景点为主。	At present, a number of travel agencies in Xiamen have successively launched a batch of domestic cross-provincial travel products during summer vacations, and the group itinerary is mainly focused on outdoor attractions.	At present, a number of travel agencies in Xiamen have launched a number of summer domestic cross-provincial tour products, and the team trip is mainly	At present, a number of travel agencies in Xiamen have launched a batch of summer domestic interprovincial tour products, team trips mainly to outdoor attractions.
针对火车站、机场出现的暑期客运高峰，相关单位在值机柜台、安检通道等人员易聚集的区域增派了人手进行疏导，福建还对“八闽健康码”进行优化升级，实现了与31个省之间的健康数据共享和互通互认，推动旅游市场有序复苏。	In response to peak passenger flow in summer in railway stations and airports, relevant organizations have deployed additional manpower in areas where people are likely to gather such as check-in counters and security check lanes, and Fujian has also optimized and upgraded the "Fujian health QR code", realized health data sharing and mutual recognition with 31 provinces, and promoted the orderly recovery of the tourism market.	In response to the summer passenger peak in railway stations and airports, relevant units have deployed additional personnel to the check-in counters and security screening corridors. Fujian has also optimized and upgraded the "Badu Health Code" to achieve healthy data sharing and mutual recognition with 31 provinces and promote the orderly recovery of the tourism market.	In response to the peak summer passenger traffic at train stations and airports, relevant units deployed additional personnel to areas where people gather easily at check-in counters and security checkpoints.
刘德华刘青云能否“拆”出新火花-新华网	Can Andy Lau and Sean Lau “run” up new sparks? - Xinhuanet	Dehua Liu Qingyun can "disassemble" new sparks - Xinhua	Liu Dehua Liu Qingyun can "remove" a new spark - Xinhua
第二部依然是邱礼涛导演,刘德华监制及主演,以全新的故事展开。	This sequel, again directed by Liu Qitao and produced by Andy Lau, presents a brand-new story in the series.	The second film is still directed by Yao Liyuan, directed and starring Liu Dehua, and opens with a new story.	The second part is still directed by Qiu Litao, directed and starring Andy Lau.
据悉,第二部中“核弹”元素的加入,也让此次拆弹专家面临的挑战更为艰难,预告里几个惊鸿一瞥的镜头,已令人心悬一线,大爆炸的蘑菇云,被火光吞没的机场,场面相当震撼。	Sources say that the addition of a “nuclear bomb” to the plot raises the stakes the challenge faced by these demolition experts, the stunning scenes in the trailers have audiences waiting on tenterhooks, and the shot of the mushroom cloud enveloping the airport is especially shocking.	It is reported that the addition of the "nuclear bomb" element in the second part also makes the challenge of this demolition expert more difficult. Several stunning scenes in the forecast have been suspended. The big explosion of mushroom clouds and the airport engulfed by fire are quite shocking.	It is reported that the addition of the second part of the "nuclear bomb" element also makes the challenge faced by bomb disposal experts more difficult, forecast in several stunning scenes, has caused the heart to hang a line, the big explosion of mushroom clouds, engulfed by flames of the airport, the scene is quite shocking
三年前,由原班人马制作出品的《拆弹专家》,斩获了当年的五一档票房冠军,并在香港电影金像奖拿下了7项提名,邱礼涛×刘德华也成为观众心目中的金牌搭档。	Three years ago, the first “Running Out of Time” produced by the original team earned the highest box office total of the May Day holiday season, won 7 nominations at the Hong Kong Film Awards, and made “Qiu Litao x Andy Lau” a golden partnership to film lovers everywhere.	Three years ago, the original production of "The Bomber in the Shell," produced by the original class, won the five box office titles of the year, and won seven nominations at the Hong Kong Film Awards, with Guo Liyuan Lau becoming the gold medal partner of the audience.	Three years ago, the bomb disposal expert produced by the original crew, won the May 1st box office of the year, and won seven nominations at the Hong Kong Film Awards, Yuan Litao x Andy Lau also became the audience's favorite gold partner.
此次的《拆弹专家2》,也令人再次期待这对王牌组合能否擦出新火花。	Now, people are hoping that these partners can produce new sparks on the silver screen with “Running Out of Time 2”.	This time, the "bomb expert 2" There is also a renewed expectation that the trump combination can erase new sparks	The bomb disposal expert 2, again expect this pair of ace combination can wipe out a new spark.
《拆弹专家2》讲述了全新的故事:前拆弹专家潘乘风(刘德华饰)晕倒在爆炸案现场,被警方列为嫌疑犯。	“Running Out of Time 2” brings us an entirely new story: former bomb disposal expert Pan Chengfeng (played by Andy Lau) passes out at a bombing crime scene, causing the police to consider him a suspect.	"The Bomber Dismantling Expert 2" tells a whole new story: the former bomb-dismantling expert Pan Seongfeng (Liu Dehua) faints at the scene of the bombing	"Bomb expert 2" tells a new story: former bomb expert Pan Chengfeng (Andy Lau) fainted at the scene of the bombing, listed as a suspect by the police.
为了寻找真相,他不得不向同是拆弹专家的好友董卓文(刘青云饰)求助。	To discover the truth, he is forced to ask his bomb disposal expert friend Dong Zhuowen (played by Sean Lau) for help.	In order to find the truth, he has to turn to his close friend Dong Zhuowen (Liu Qingyun), who is also an expert on	In order to find the truth, he has to turn to his friend Dong Zhuowen (Liu Qingyun), who is also a bomb disposal expert.
急于破案的女督查,也同时是潘乘风前女友的庞玲(倪妮饰)也被卷入其中。	Pang Ling, the female detective assigned to the case and Pan Chengfeng’s former girlfriend (played Ni Ni) is also pulled into the fray.	A female inspector, who is eager to break the case, and Pang, who is also Pan's ex-girlfriend, are also implicated.	At the same time, he was not able to see what was happening to him.
依然是拆弹专家,但从定档预告中能感受到刘德华新角色的复杂:断了一条腿,戴上了义肢,一边被同是拆弹专家的刘青云追捕,一边又被前女友倪妮指挥行动。	Pan Chengfeng is still a bomb disposal expert, but in the release date announcement trailer, Andy Lau’s new role is more complex: after breaking his leg, he attaches a prosthetic leg, and then defuses a bomb while being chased by Sean Lau and taking instructions from his ex-girlfriend Ni Ni.	He is still an expert in demolition, but can feel the complexity of Liu's new role in the prequel: he broke a leg, put on a prosthetic leg, was hunted down by Liu Qingyun, who is also an expert in demolition, and was commanded	He was still an expert in bomb disposal, but he could feel the complexity of Liu's new role from the trailer: he broke a leg, wore a prosthetic leg, and was pursued by Liu Qingyun, who was also an expert in bomb disposal.
三人究竟是怎样的关系,刘德华到底在香岛酒店做了什么,被牵扯到怎样的案件中,他拆弹专家的职业生涯又经历了哪些波折,种种谜团让人好奇不已。	Just what is the relationship between the three characters, what does Andy Lau do in the Hong Kong hotel, what kind of case is he involved in, and what happened to his bomb disposal career are all questions to which audiences crave answers.	What is the relationship between the three of them? What exactly did Liu Dehua do in Xiangdao Hotel? What kind of cases have been involved? What kind of ups and downs has his demolition expert's career gone through? The mysteries are curious.	It was the first time in his life that he had been born, and that he was born again, and that he was born again, and that he was born again.
据了解,电影的重头戏都是实地取景香港的世界地标性建筑,加上顶尖的特效制作团队,带来震撼逼真的视觉冲击。	Sources tell us that the film’s highlights include on-location shooting at world-famous Hong Kong landmarks, and coupled with the industry-leading special effects team, we expect the film to deliver a mind-blowing cinematic experience.	It is understood that the film's main focus is to shoot Hong Kong's world landmarks in the field, plus the top special effects production team, which brings a shocking visual impact.	It is understood that the highlights of the film are the scene shooting Hong Kong's world landmarks, coupled with the top special effects production team, bring shocking realistic visual impact.
（记者 聂青）	(Correspondent: Nie Qing)	(Journalist asphalt)	(Reporter Qiu Qing)
中新网7月26日电 综合俄罗斯卫星网报道，7月26日是俄罗斯海军日，庆祝海军日的主要阅兵式在圣彼得堡和喀琅施塔得举行。	July 26, (Ecns.cn) According to Sputnik News, July 26 is Russia’s Navy Day, and the main military parade to celebrate the Navy Day was held in St. Petersburg and Kronshtadt.	On 26 July, the Russian Navy Day was observed in Saint Petersburg and Kronstadt.	On July 26, the Integrated Russian Satellite Network reported that July 26 was Russian Navy Day, with major military parades taking place in St. Petersburg and Kronstadt.
俄罗斯总统、俄联邦武装力量最高统帅普京抵达喀琅施塔得参加庆祝活动，该地15艘舰艇和潜艇接受了检阅。	The President and Supreme Commander of the Armed Forces of the Russian Federation Putin arrived in Kronshtadt to participate in the celebration, where he inspected 15 ships and submarines.	Russian President and Supreme Commander of the Armed Forces of the Russian Federation Vladimir Putin arrived in Kronstadt for the celebration, where 15 ships and submarines were inspected.	Russian President Vladimir Putin, Supreme Commander of the Armed Forces of the Russian Federation, arrived in Kronstadt for the celebration, where 15 ships and submarines were inspected.
当地时间2019年7月28日，俄罗斯圣彼得堡举行盛大阅兵式庆祝海军节。	On July 28, 2019 (MSK), Russia held a grand military parade to celebrate Navy day in St. Petersburg.	On 28 July 2019 local time, a grand parade was held in Saint Petersburg, Russia to celebrate the Naval Festival.	On July 28, 2019 local time, St. Petersburg, Russia held a grand military parade to celebrate Navy Day.
据报道，普京向海军官兵祝贺海军日，并乘小艇在芬兰湾上从将要参加海上阅兵的舰艇旁边驶过，随后在主观礼台检阅受阅部队。	It was reported that Putin congratulated the navy officers and soldiers on Navy Day, passed by the ships that were about to participate in the maritime parade in a small boat on the Gulf of Finland, and then inspected the troops under review at the main reviewing stand.	Putin is reported to have congratulated the naval officers and officers on the day, passing by a dinghy on the Gulf of Finland next to a ship to take part in a military parade at sea, followed by a parade of troops at the main observation deck.	Putin reportedly congratulated naval officers and men on Navy Day and sailed in a dinghy across the Gulf of Finland from ships that would be taking part in the naval parade before reviewing the troops at the main viewing platform.
普京表示，俄海军舰队列装了最新式的舰艇和特殊装备，装备水平不断提高。	Putin said that the Russian naval fleet was equipped with the latest ships and special equipment, and the level of equipment was constantly improving.	According to Putin, the Russian naval fleet is equipped with the latest ships and special equipment.	Putin said that the Russian naval fleet is equipped with the latest type of ships and special equipment, and the level of equipment is constantly improving.
普京在俄罗斯海军日的阅兵式上说：“俄罗斯海军舰队拥有配备了高精武器的军舰、战略潜水巡洋舰和多用途潜艇、最新式飞机等飞行器、独特的武器和特殊装备。”	Putin said at the military parade on Russia’s Navy Day, "The Russian naval fleet is equipped with high-precision weapons, strategic submersible cruisers and multi-purpose submarines, the latest aircraft and other aircraft, unique weapons, and special equipment. ”	"The Russian Navy fleet has warships equipped with high-precision weapons, strategic dive cruisers and multi-purpose submarines, aircraft such as the latest models, unique weapons and special equipment," Putin said at the parade on Russian Navy Day.	"The Russian naval fleet is equipped with warships equipped with high-precision weapons, strategic dive cruisers and multi-purpose submarines, state-of-the-art aircraft such as aircraft, unique weapons and special equipment," Putin said at a Russian Navy Day parade.
当地时间6月24日，俄罗斯纪念卫国战争胜利75周年红场阅兵式举行。	On June 24 (MST), a military parade was held at Red Square in Russia to commemorate the 75th anniversary of the victory in the Great Patriotic War.	On 24 June local time, a military parade was held in Red Square to commemorate the 75th anniversary of Russia's victory in the Great Patriotic	On June 24 local time, Russia held a military parade in Red Square commemorating the 75th anniversary of victory in the Patriotic War.
他还表示，俄海军舰队将靠数字化和有效防御手段来取得独特优势。	He also stated that the Russian naval fleet will rely on digitalization and effective defense methods to gain unique advantages.	He also stated that the Russian naval fleet would gain a unique advantage through digital and effective defense.	He also said that the Russian naval fleet will achieve unique advantages by digitizing and effective defense means.
报道称，庆祝俄罗斯海军日的主要海军阅兵式在圣彼得堡和喀琅施塔得举行，共有46艘舰艇参加，包括“卡萨托诺夫上将”号护卫舰、“海军中将库拉科夫”号大型反潜舰，以及大型登陆舰、小型导弹舰、护卫舰、潜艇等。	According to the report, the main naval parade to celebrate Russia’s Navy Day was held in St. Petersburg and Kronshtadt, and a total of 46 ships participated, including the frigate "Admiral Kasatonov Frigate", the anti-submarine ship "Vice Admiral Kulakov", as well as large landing ships, small missile ships, frigates, submarines, and more.	According to the report, the main naval parade celebrating the Russian Navy Day was held in St. Petersburg and Kronstadt, with 46 ships, including the frigate Admiral Kasatonov, the large anti-submarine vessel Vice Admiral Kurakov, and large landing ships, small missile ships, frigates, and submarines.	The main naval parade to celebrate Russian Navy Day was held in St. Petersburg and Kronstadt, with 46 ships participating, including Admiral Kasatonov, the large anti-submarine Admiral Kurakov, as well as large landing ships, small missile ships, frigates and submarines.
其中，系列舰艇在圣彼得堡冬宫桥旁进行静态展示，其中最引人瞩目的是经过复制的18世纪初俄罗斯首艘战列舰“波尔塔瓦”号。	Among them, the series of ships were statically displayed next to the Palace Bridge (Dvortsovyy Most) in St. Petersburg, the most eye-catching of which was the replica of Russia’s first battleship "Poltava" in the early 18th century.	Among them, the series of ships were static displays beside the Winter Palace Bridge in Saint Petersburg, most notably the replica of the first Russian battleship Poltava in the early 18th century.	Among them, the ships were shown in static display beside the Hermitage Bridge in St. Petersburg, most notably the replica Poltava, Russia's first battleship of the early 18th century.
为避免新冠病毒传播，今年海军阅兵式期间只有当地居民和特邀来宾能够进入喀琅施塔得。	In order to avoid the spread of COVID-19, only local residents and special guests could enter Kronshtadt during the naval parade this year.	To avoid the new coronavirus, only local residents and special guests will be able to enter Kronstadt during this year's naval parade.	In order to prevent the spread of the new coronavirus, only local residents and special guests were allowed to enter Kronstadt during this year's naval parade.
每年7月最后一个星期日是俄罗斯海军日。	Russia’s Navy Day takes place each year on the last Sunday of July.	The last Sunday of July is Russian Navy Day.	Russian Navy Day is celebrated every year on the last Sunday of July.
北京爱乐合唱团创始人杨鸿年逝世，享年86岁-中新网	Yang Hongnian, Beijing Philharmonic Chorus, passes away at age 86 - chinanews.com	Beijing Philharmonic founder Yang Hongyan dies at age of 86 - Xinhua - RT Viral	Yang Hongnian, founder of Beijing Philharmonic Choir, dies aged 86
新京报讯(记者 刘臻)7月26日，北京爱乐合唱团发表讣告，北京爱乐合唱团创始人，中国著名指挥家、音乐教育家，中央音乐学院终身学术委员、指挥系教授杨鸿年，因病医治无效，于2020年7月26日13时55分在北京逝世，享年86岁。	Beijing News (Reporter Liu Zhen) On July 26, the Beijing Philharmonic Chorus published an obituary for its founder Yang Hongnian, who passed away in Beijing at 13:55 on July 26, 2020 at the age of 86, due to an ineffective medical treatment; he was a notable Chinese conductor and music educator, a lifetime academy scholar at the Central Conservatory of Music, and Composition Department professor.	On July 26, 2020, Yang Hongnian, founder of the Beijing Philharmonic Choir, a renowned Chinese conductor, music educator, lifelong academic member of the Central Conservatory of Music, and professor of the conduct department, died in Beijing at 13: 55 on July 26, 2020 at the age of 86.	Yang Hongnian, founder of the Beijing Philharmonic Choir, a famous Chinese conductor and music educator, tenured academic member of the Central Conservatory of Music and professor of conductors, died at 13: 55 on July 26, 2020 in Beijing.
图片来自北京爱乐合唱团官网。	Image from the Beijing Philharmonic Chorus official website.	Photo by Beijing Philharmonic Choir.	Photo courtesy of Beijing Philharmonic Choir.
杨鸿年出生于1934年，江苏南京人，自幼酷爱音乐。	He was born in 1934 in Nanjing, Jiangsu, and even in childhood was a lover of music.	Yang Hongnian was born in 1934 in Nanjing, Jiangsu Province, and loved music since childhood.	Yang Hongnian was born in 1934 in Nanjing, Jiangsu Province.
1951年任南京人民广播电台合唱队指挥，1951年秋考入上海华东师大音乐系，师从杨嘉仁教授及德国指挥家希兹曼学习指挥，向前苏联专家阿尔扎玛诺夫学习曲式、复调。	In 1951, he took up a chorus conductor position at Nanjing People’s Radio; in autumn of 1951, he enrolled at the East China Normal University music department to study composition under Professor Yang Jiaren and German conductor Heisman, and then studied musical forms and polyphony under Soviet musical expert Arzamanov.	In the fall of 1951, he was admitted to the East China Division of Music in Shanghai, where he studied under Professor Yang Jiaren and the German conductor Gizmller.	In 1951 he served as the conductor of the choir of Nanjing People's Radio. In the autumn of 1951 he was admitted to the music department of East China Normal University in Shanghai. He studied conducting under Professor Yang Jiaren and German conductor Hitzman.
1958年任教于北京艺术师范学院音乐系，1973年调至中央音乐学院作曲系、指挥系任教。	In 1958, he began teaching at the Beijing Normal University of Arts Department of Music, and in 1973, he transferred to the Department of Composition and Conducting at the Central Conservatory of Music.	In 1958, he taught at the Beijing Normal University of the Arts and Music, and in 1973 he was transferred to the Central Conservatory of Music.	In 1958, he taught at the Music Department of Beijing Normal College of Art and in 1973 transferred to the Department of Composition and Conducting of the Central Conservatory of Music.
杨鸿年于1983年创办北京爱乐合唱团。	In 1982, Yang Hongnian established the Beijing Philharmonic Chorus.	Yang Hongnian founded the Beijing Philharmonic Choir in 1983.	Yang Hongnian founded the Beijing Philharmonic Choir in 1983.
三十余年来，他秉承“爱和奉献”的宗旨，率领这支合唱团唱遍世界各地，并在国内外重要比赛中获得了几十项大奖。	For more than three decades, he embodied the principles of “love and dedication” as he led the chorus in performances all over the globe and won dozens of prestigious awards in major competitions in China and abroad.	For more than 30 years, he has led the choir around the world and won dozens of awards in important competitions at home and abroad, adhering to the tenet of "love and dedication."	For more than 30 years, he has led this choir around the world and won dozens of awards in important competitions at home and abroad.
曾先后指挥中央乐团合唱队、中央民族歌舞团、东方歌舞团、上海合唱团等30余个团体的演出，并举行多场交响音乐会及合唱音乐会。	He directed performances for more than 30 ensembles including the Central Philharmonic Chorus, the China National Ethnic Song and Dance Ensemble, Oriental Song and Dance Company, and Shanghai Chorus, and also put on many symphony and chorus performances.	He has performed with more than 30 groups, including the Central Orchestra Chorus, the Central National Song and Dance Company, the Oriental Song and Dance Company, and the Shanghai Chorus.	He has conducted more than 30 groups such as Central Orchestra Choir, Central Chinese Song and Dance Company, Oriental Song and Dance Company and Shanghai Choir, and held many symphonic concerts and choral concerts.
著作有《乐队训练学》、《合唱训练学》、《二部歌曲写作》、《儿童歌曲集》(上下册)及论文《论合唱音准问题》、《论管弦乐的音响层次布局》，以及译作《合唱配器法》及《德彪西的和声语言》等。	He authored such books as “Orchestra Training”, “Chorus Training”, “The Writing of Two-Part Compositions”, “A Collection of Children’s Songs” (Volumes 1 & 2), his essays include “On Issues of Chorus Intonation” and “On the Sound Hierarchy of Orchestral Music”, and his translated works include “Choral Orchestration”, “Debussy’s Language of Harmony”, and so on.	It has been published in the following books: "Band Training," "Chorus Training," "Two Songs to Write," "Children's Songs Collection," "On the Problems of Chorus Tone," "On the Sound Layout of Orchestral Music," and translated into Chinese as "The Chorus Accessory Law" and "Debuss	His works include "Band Training," "Choral Training," "Two-part Song Writing," "Children's Songbook" (volume) and treatises "On the Choral Intonation Problem," "On the Sound Level Layout of Orchestra," as well as translations of "Choral Orchestrator Law" and "Debussy's Harmonic Language."
中新网重庆7月26日电 (记者 刘贤)重庆市发展和改革委员会26日发布消息称，该市截至目前已退捕渔民4404人，占全部涉及渔民的42.54% 。	CHONGQING, July 26, (Ecns.cn, by Liu Xian): The Chongqing Municipal Commission of Development and Reform announced on the 26th that there are 4,404 fishermen who have quit fishing so far, accounting for 42.54% of all fishermen involved.	According to a report issued by the Chongqing Development and Reform Commission on 26 July, 4404 fishermen have been arrested in the city so far, accounting for 42.54 of all fishermen involved.	Chongqing, July 26 (Reporter Liu Xian) Chongqing Development and Reform Commission released news on July 26 that the city has so far returned 4404 fishermen, accounting for 42.54 of all involved fishermen.
今年53岁的李代国接受中新网记者采访时说，爷爷辈就在龙溪河打鱼，自己11岁起就跟着父亲打鱼，摇着小船，沿着龙溪河前行，上到重庆梁平，下到长寿，每次一离开家就是十天半个月，靠打鱼维持家人生活。	In an interview with a reporter from Ecns.cn, 53-year-old Li Daiguo said that his grandfathers used to fish in the Longxi River, and that he had been fishing with his father since the age of 11, shaking his boat, and traveling along the Longxi River from Liangping, Chongqing to Changshou, journeys that would last for over ten days every time he left his home, and he relied on fishing to make a living.	Li Daiguo, 53 years old, told reporters in Xinjiang, said that his grandfathers were fishing in the Longxi River. He followed his father since he was 11 years old, shook his small boat, walked along the Longxi River and went to Liangping, Chongqing, and went down to longevity. Each time he left home, he was ten and a half months	Li Daiguo, 53 years old, said in an interview with China News Network that his grandfathers had been fishing in the Longxi River since he was 11 years old, followed his father fishing, rocking the boat, along the Longxi River, up to Chongqing Liangping, down to longevity, every time he left home is ten days and a half months, relying on fishing to maintain
但从1997年起，随着农村人口逐渐往场镇里涌，高安场镇里的居民越来越多，造成的环境污染也越来越严重。	However, since 1997, as the rural population has gradually flowed into the town, there are increasing number of residents in Gao'anchang town, which has caused increasingly serious environmental pollution.	Since 1997, however, as the rural population began to proliferate in the towns, the number of inhabitants of Gao'anchang has increased, resulting in increasing environmental pollution.	However, since 1997, as the rural population gradually poured into Changchang Town, Gao'anchang Town has more and more residents, causing more and more serious environmental pollution.
龙溪河沿线修建了造纸厂、化工厂、养殖场，也污染河水。	Paper mills, chemical plants, and breeding farms were built along the Longxi River, which also polluted the river.	Along the Longxi River, paper mills, chemical factories, and livestock farms were built, which also polluted the river.	Paper mills, chemical plants and farms have been built along the Longxi River, which also pollutes the river.
到2007年、2008年，龙溪河变成臭水沟。	By 2007 and 2008, the Longxi River became a stinking ditch.	In 2007 and 2008, the Longxi River became a stinky gutter.	By 2007 and 2008, the Longxi River had become a smelly ditch.
“捕上来的鱼鳞片都是黑的，剖开后里面也是黑的。”	"The scales of the fish are black, and their stomachs are black, too. "	"The fins are black and black when cut open."	"The fins caught are black, and the inside is black when cut open."
李代国说，河水污染后打鱼越来越困难。	Li Daiguo said that fishing has become more and more difficult after the river was polluted.	Li Daiguo said it was getting harder to catch fish after the river became polluted.	Li said fishing became increasingly difficult after the river was polluted.
当地开始下大力气治理龙溪河污染，包括清漂、巡河、水生资源管护等。	The local government began to make great efforts to control the pollution of the Longxi River, including clearing the river, patrolling on the river, and managing and protecting aquatic resources.	Local efforts to combat the pollution of the Longxi River, including cleaning and drifting, river cruising, aquatic resources and conservation.	Local efforts began to control Longxi River pollution, including drifting, river cruising, aquatic resources management.
李代国也从渔民退捕转产，成为巡河队的一员，管护水生资源。	Li Daiguo also quit fishing and became a member of the river inspection team to manage and protect aquatic resources.	Lee also retreated from fishing and became a member of the river cruise to protect aquatic resources.	Li Daiguo also converted from fishermen to become a member of the river patrol team to protect aquatic resources.
从2020年1月1日起，重庆市水生生物保护区以及主城区相关水域已实行全面禁捕。	Starting from January 1, 2020, the aquatic life reserve of Chongqing and related water areas in the main urban area have implemented a total ban on fishing.	Since January 1, 2020, the Chongqing Aquatic Life Reserve and the associated waters of the main city have been completely closed to fishing.	From January 1, 2020, Chongqing Aquatic Life Reserve and related waters of main urban areas have been completely banned.
据重庆市发展改革委数据，截至目前，重庆市已累计退捕渔船3403艘、已签订退捕协议渔船4643艘，分别占三年总任务的63.3% 、 86.3% 。	According to data from the Chongqing Municipal Commission of Development and Reform, as of now, there are 3,403 fishing boats that have quit fishing and 4,643 fishing boats that have signed retreat agreements, accounting for 63.3% and 86.3% of the total three-year mission respectively.	According to the Ministry of Foreign Affairs and the Ministry of Foreign Affairs of the People's Republic of China, the total number of fishing vessels in the People's Republic of China who have returned to the Republic of China has reached 3,403 and 4,643	According to the Chongqing Development and Reform Commission data, so far, Chongqing has returned a total of 3403 fishing boats, has signed a fishing agreement 4,643 fishing boats, accounting for 63.3 percent and 86.3 percent of the three-year total task
已退捕渔民4404人，占全部涉及渔民的42.54% 。	4,404 fishermen have quit fishing, accounting for 42.54% of all fishermen involved.	A total of 4,404 fishermen, or 42.54 per cent of all fishermen involved, have been released.	A total of 4,404 fishermen have been returned, or 42.54 per cent of all fishermen involved.
已退捕4404人中，实现就业4267人，占已退捕渔民的96.89% 。	Among the 4,404 fishermen who quit fishing, 4,267 are re-employed, accounting for 96.89% of the fishermen who have quit fishing.	Of the 4,404 persons who have been released, 4,267 have been employed, representing 96.89 per cent of those who have been released	Of the 4,404 persons returned, 4,267 were employed, or 96.89 per cent of the fishermen returned.
养老保险保障覆盖2691人，占退捕渔民的61.10% 。	The pension insurance coverage covers 2,691 people, accounting for 61.10% of the fishermen who have quit fishing.	Pension insurance covers 2,691 persons, or 61.10 per cent of those who have returned from fishing.	Pension insurance covers 2,691 persons, accounting for 61.10 per cent of returned fishermen.
下一步，重庆市将深入开展各专项整治行动，加快推进长江干流岸线利用项目清理整治，完成新一轮长江入河排污口普查并开展相应整治行动，基本完成“三磷” ( 指磷矿、磷化工和磷石膏库)整治任务、小水电清理整改工作，推进长江两岸造林绿化专项行动，强化绿色矿山建设，巩固长江干流非法码头、非法采砂专项整治成果，深入推进长江流域禁捕退捕工作。	In the next step, Chongqing will carry out in-depth special rectification actions, accelerate the cleanup and rectification of the utilization projects on the shoreline of the Yangtze River, complete a new round of surveys on sewage outflow of the Yangtze River and carry out corresponding rectification actions, basically complete the "three phosphorus" rectification tasks (referring to phosphate mines, phosphorus chemical industry, and phosphogypsum reservoirs), conduct small hydropower clean-up and rectification, promote the special forestation and greening activities on both sides of the Yangtze River, strengthen the construction of green mines, consolidate the results of the special rectification of illegal docks and illegal sand mining on the main stream of the Yangtze River, and further promote the ban on fishing and fishing-quitting work on the Yangtze River.	In the next step, Chongqing will carry out special remediation actions in depth, accelerate the promotion of the cleaning and remediation of the Yangtze River Mainline Utilization Project, complete a new round of survey of the Yangtze River into the sewage outlet and carry out the corresponding remediation actions, basically complete the "three phosphorus" (phosphorus, phosphorus chemical and phosphate gypsum) remediation task, small hydroelectric power cleaning and rehabilitation work, promote the special action of afforestation and afforestation on both sides of	In the next step, Chongqing will carry out in-depth special remediation actions, accelerate the Yangtze River dry stream shoreline utilization project clean-up and remediation, complete a new round of Yangtze River sewage outlet survey and carry out corresponding remediation actions, basically complete the "three phosphorus" (referring to phosphate ore, phosphorus chemical industry and phosphorus gypsum bank) remediation task, small hydropower clean-up and rectification work, promote afforestation and greening special actions on both sides of the Yangtze River, strengthen green mine construction, consolidate
以色列加强对疫情反复的防控-中新网	Israel Strengthens Measures to Prevent Epidemic from Recurring-Ecns.cn	Israel to tighten control over repeated outbreaks - Xinhua - RT News	Israel Strengthens Prevention and Control of Repeated Epidemics
2020-07-26 04:56:44 来源：光明日报 作者：王思硕 责任编辑：王思硕	2020-07-26 04:56:44 Source: Guangming Daily Author: Wang Sishuo Editor: Wang Sishuo	2020-07-26 04: 56: 44 Source: Guangming Daily Author: Wang Sishuo Responsible Editor: Wang Sishuo	2020-07-26 04: 56: 44From: Guangming Daily Author: Wang SishuoResponsible Editor: Wang Sishuo
以色列加强对疫情反复的防控	Israel strengthens measures to prevent epidemic from recurring	Israel to tighten control over repeated outbreaks	Israel steps up prevention and control of recurrent outbreaks
新冠肺炎疫情暴发初期，以色列的防控措施成效明显。	At the beginning of the epidemic outbreak, Israel's prevention and control measures were effective.	In the early years of the coronary pneumonia epidemic, Israeli control measures were effective.	In the early stages of the COVID-19 outbreak, Israel's prevention and control measures were effective.
然而，随着防控措施的逐渐解禁，近期以色列国内的新冠肺炎确诊人数有明显上升之势，以色列政府已多次采取紧急措施加强对疫情的防控。	However, with the gradual lifting of the ban, the number of confirmed cases in Israel has recently increased significantly, and the Israeli government has taken several emergency measures to strengthen its epidemic prevention and control.	However, with the gradual release of preventive measures, there has been a marked increase in the number of new coronary pneumonia diagnoses in Israel in the recent past, and the Government of Israel has taken several urgent steps to strengthen	However, with the gradual lifting of prevention and control measures, the number of confirmed cases of coronavirus in Israel has recently increased significantly, and the Israeli government has taken several urgent measures to strengthen prevention and control of the epidemic.
