Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
Still, some insist that having options is important for avoiding the need for a firearm.	一部分人仍然坚持这样一个观点——有选择对于避免使用枪支而言十分重要。	不过，有些人坚持认为，有选择对于避免枪支的需要是重要的。	不过，有些人坚持认为，有选择对于避免枪支的需要是重要的。
"All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life," said Corey Pegues, former New York Police Department Deputy Inspector.	前纽约警察局副督察 Corey Pegues 表示：“我们应当为警员提供各种随身装备，而不是使用枪支这样的致命武器，因为警察在美国是唯一一种由公民赋予权力夺取人性命的职业。”	“所有这些装置都应该是警察使用的，而不是火器使用的致命武力，因为它是美国唯一的职业，公民给予你生命的权利，” 前纽约警察局副检查专员科利・波盖说。	“所有这些装置都应该是手头上的，警察使用的不是致命的武力，而是枪支使用的武力，因为它是美国唯一的职业，公民给你的权利夺走你的生命，” 前纽约警察局副督察 Corey Pegues 说。
One of the newest tools is called the Bola Wrap, a handheld device that shoots out an 8-foot Kevlar cord that wraps around a suspect.	有一款最新工具叫做套索 (Bola Wrap)，这是一种手持式装备，可以发射长 8 英尺的凯夫拉绳索缠绕住犯罪嫌疑人。	其中一个最新的工具叫做 Bola Wrap ，一个手持设备，它射出一个 8 英尺高的 Kevlar 绳索，它包裹着一个嫌疑犯。	其中一个最新的工具叫做 Bola Wrap ，这是一个手持设备，它发射出一个 8 英尺的 Kevlar 线，它包裹着一个嫌疑犯。
There are Long Range Acoustic Devices, also known as sound canons, directed energy weapons that use lasers to heat a person's skin, new projectiles made from things like foam and chalk, stink bombs, and of course the Taser.	其他新型装备还包括远距离声波设备（也称做声波加农炮）、使用激光加热人体皮肤的定向能量发射武器、由泡沫和白垩粉之类的材料制成的新型炮弹、臭弹以及电击枪。	还有一些远程声学器件，也叫声炮，用激光加热一个人的皮肤，用泡沫和粉笔，臭炸弹，当然还有泰瑟枪制造的新射弹。	有远程声学装置，也被称为声炮，使用激光加热人的皮肤的定向能量武器，像泡沫和粉笔，臭炸弹，当然还有泰瑟枪。
Shares of Axon, the company that makes the Taser, spiked more than 18%, reaching all-time highs when protests turned violent days after the police killing of George Floyd.	在 George Floyd 被警察杀害后的几天内，抗议活动演变为暴力事件，电击枪制造企业 Axon 的股价上涨超过 18％，创下历史新高。	制造泰瑟枪的公司 Axon 的股价上涨了 18% 以上，在警察杀害乔治・弗洛伊德之后的暴力日子里，抗议活动达到了历史新高。	在警察杀害乔治・弗洛伊德之后，抗议演变成暴力日，导致泰瑟枪的公司 Axon 的股价上涨了 18% 以上，达到了历史新高。
The market for less-lethal weapons is expected to reach $11.85 billion by 2023.	预计到 2023 年，低致命性武器的市场总额将达到 118.5 亿美元。	预计到 2023 年，非致命性武器市场将达到 118.5 亿美元。	到 2023 年，低致命性武器市场预计将达到 118.5 亿美元。
Watch the video to get a look at the new high-tech tools police are using for less-lethal force, how they're regulated, and what's at stake for the future of policing and the communities they serve.	观看视频，了解警方使用的新型高科技低致命性工具，了解如何监管这些工具的使用以及它们会给未来的治安维护和社区带来哪些风险。	观看视频，看看新的高科技工具警察使用的是不致命的武力，他们是如何监管的，以及他们所服务的社区的未来的利害关系。	观看视频，看看新的高科技工具警察正在使用致命的武力，如何监管他们，以及他们所服务的治安和社区的未来。
UN says thousands of anti-Pakistan militants in Afghanistan	联合国称阿富汗驻扎有数千名巴基斯坦叛乱武装分子	联合国说，阿富汗有数千名反巴基斯坦激进分子	联合国说，阿富汗数以千计的反巴基斯坦激进分子
ISLAMABAD -- A U.N. report says more than 6,000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.	伊斯兰堡——联合国报告称，有超过 6,000 名巴基斯坦叛乱分子藏匿在阿富汗，其中大多数为非法的巴基斯坦塔利班组织，负责袭击巴基斯坦军用和民用目标。	伊斯兰堡：联合国的一份报告说， 6 ， 000 多名巴基斯坦反叛分子藏身于阿富汗，其中大部分属于负责袭击巴基斯坦军事和平民目标的巴基斯坦塔利班集团。	伊斯兰堡：联合国的一份报告说， 6000 多名巴基斯坦反叛分子藏匿在阿富汗，其中大部分属于非法的巴基斯坦塔利班团体，负责袭击巴基斯坦军事和平民目标。
The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.	根据本周发布的报告，这个被称为 Tehreek-e-Taliban (TTP) 的组织与伊斯兰国 (IS) 组织的阿富汗分支有相关联系。	本周公布的报告称，该组织被称为 Tehreek - e - Taliban (TTP) ，与伊斯兰国家集团的阿富汗附属机构有联系。	本周公布的报告称，该组织被称为 Tehreek - e - 塔利班（ TTP ），与伊斯兰国家集团的阿富汗附属机构建立了联系。
Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.	一些 TTP 的成员甚至加入了基地位于阿富汗东部的隶属于 IS 的组织。	TTP 的一些成员甚至加入了其总部设在阿富汗东部的附属机构。	TTP 的一些成员甚至加入了总部设在阿富汗东部的附属机构。
The Afghan government did not respond Sunday to requests by The Associated Press for comment.	周日，阿富汗政府并未回复美联社对相关问题进行评论的请求。	阿富汗政府周日没有回应美联社的置评要求。	阿富汗政府周日没有回应美联社的要求发表评论。
The report said IS in Afghanistan, known as IS in Khorasan province, has been hit hard by Afghan security forces as well as U.S. and NATO forces, and even on occasion by the Afghan Taliban.	据报道称，阿富汗境内的 IS （即霍拉桑省 IS）受到阿富汗安全部队以及美国和北约部队的重创，有时还会遭受阿富汗塔利班的的袭击。	报告说，在阿富汗，被称为霍拉桑省的 IS ，受到阿富汗安全部队以及美国和北约部队的沉重打击，甚至有时也受到阿富汗塔利班的打击。	报告说，在阿富汗，被称为呼罗珊省的 IS ，受到阿富汗安全部队以及美国和北约部队的沉重打击，甚至有时也受到阿富汗塔利班的打击。
The report was prepared by the U.N. analytical and sanctions monitoring team, which tracks terrorist groups around the world.	该报告由分析支持和制裁监测小组撰写，该小组负责追踪世界各地的恐怖组织。	该报告是由联合国分析和制裁监测小组编写的，该小组跟踪世界各地的恐怖主义团体。	该报告是由联合国分析和制裁监测小组编写的，该小组跟踪世界各地的恐怖主义团体。
The report estimated the membership of IS in Afghanistan at 2,200, and while its leadership has been depleted, IS still counts among its leaders a Syrian national Abu Said Mohammad al-Khorasani.	报告估计，阿富汗的 IS 组织成员有 2,200 人，尽管其领导层被削弱，但该组织仍将一名叙利亚公民——Abu Said Mohammad al-Khorasani——视为头领之一。	该报告估计，阿富汗境内的 IS 成员为 2200 人，虽然其领导能力已被耗尽，但仍在其领导人中计算叙利亚国民 Abu Said Mohammad al - Khorasani 。	该报告估计阿富汗的成员人数为 2200 人，虽然其领导能力已经耗尽，但在其领导人中仍有叙利亚国民 Abu Said Mohammad al - Khorasani 。
The report also said the monitoring team had received information that two senior Islamic State commanders, Abu Qutaibah and Abu Hajar al-Iraqi, had recently arrived in Afghanistan from the Middle East.	报告还提到，监测小组有消息称两名 IS 高级指挥官 Abu Qutaibah 和 Abu Hajar al-Iraqi 从中东抵达阿富汗。	报告还说，监测组收到情报说，两名伊斯兰国家高级指挥官 Abu Qutaibah 和 Abu Hajar al - 伊拉克最近从中东抵达阿富汗。	报告还说，监测小组收到的情报说，两名伊斯兰国家高级指挥官 Abu Qutaibah 和 Abu Hajar al - 伊拉克最近从中东抵达阿富汗。
"Although in territorial retreat, (the Islamic State) remains capable of carrying out high-profile attacks in various parts of the country, including Kabul.	报告写道，“IS 占领的领土虽然在减少，但他们仍然有能力在该国包括喀布尔在内的各个地区造成一定规模的袭击。	" (伊斯兰国) 虽然在领土撤退时仍有能力在该国各地，包括在喀布尔进行高调攻击。	" 虽然在领土撤退时， (伊斯兰国) 仍然有能力在该国各地，包括喀布尔，进行高调袭击。
It also aims to attract Taliban fighters who oppose the agreement with the United States," the report said, referring to a U.S. peace deal signed with the Taliban in February.	该组织还想要拉拢反对同美国签署协议的塔利班战士”。此处的协议指美国在二月份与塔利班签署的和平协议。	它还旨在吸引那些反对与美国达成协议的塔利班战士，” 报告说，提到 2 月与塔利班签署的美国和平协议。	报道说，它还旨在吸引那些反对与美国达成协议的塔利班战士。” 报告说，美国在 2 月份与塔利班签署了一项和平协议。
That deal was struck to allow the U.S. to end its 19-year involvement in Afghanistan, and calls on the Taliban to guarantee its territory will not be used by terrorist groups.	这项协议的目的是为了让美国得以结束其在阿富汗 19 年之久的战争，并希望塔利班保证其领土不会被恐怖组织使用。	这项协议是为了让美国结束其在阿富汗的 19 年参与，并呼吁塔利班保证其领土不会被恐怖主义集团使用。	这项协议的目的是让美国结束其在阿富汗的 19 年介入，并呼吁塔利班保证其领土不会被恐怖组织使用。
The deal is also expected to guarantee the Taliban's all-out participation in the fight against IS.	预计该协议还将确保塔利班全力投入到打击 IS 的战斗中。	预计这笔交易还将保证塔利班全面参与反 IS 的斗争。	预计这笔交易还将保证塔利班全面参与反 IS 的斗争。
The second and perhaps most critical part of the agreement calls for talks between the Taliban and Kabul's political leadership.	协议第二部分——可能也是最重要的部分——则呼吁塔利班和喀布尔的政治领袖进行会谈。	该协议的第二部分，也许是最关键的部分，要求塔利班与喀布尔的政治领导人进行会谈。	协议的第二部分，也许是最关键的部分，要求塔利班和喀布尔的政治领导人举行会谈。
Late Saturday, the U.S. State Department issued a statement saying its peace envoy Zalmay Khalilzad was again shuttling through the region seeking to jump start those negotiations, which have been repeatedly postponed as both sides squabble over a prisoner release program.	周六晚些时候，美国国务院发表声明，称其和平特使 Zalmay Khalilzad 仍忙碌奔波于该地区，试图推动因双方在囚犯释放计划上的争执而一再推迟的谈判事宜。	星期六晚些时候，美国国务院发表声明说，其和平特使哈利勒扎德（ Zalmay Khalilzad ）再次在该地区穿梭，试图启动这些谈判。	星期六晚些时候，美国国务院发表声明说，其和平特使扎尔梅・哈利勒扎德再次穿梭于该地区，试图启动这些谈判，因为双方都在争夺囚犯释放计划，谈判一再推迟。
The U.S.-backed deal calls for the Afghan government to release 5,000 Taliban prisoners and the Taliban to free 1,000 government and military personnel as a so-called good will gesture ahead of talks.	这项美国支持的协议呼吁阿富汗政府释放 5,000 名塔利班囚犯，相应地，塔利班则需释放 1,000 名政府和军方人员，作为双方谈判前抛出的橄榄枝。	美国支持的协议要求阿富汗政府释放 5 ， 000 名塔利班囚犯和塔利班，释放 1 ， 000 名政府和军事人员，作为所谓的 “善意姿态”。	美国支持的协议要求阿富汗政府释放 5 ， 000 名塔利班囚犯和塔利班，释放 1 ， 000 名政府和军事人员，这是谈判前的一个所谓的良好姿态。
Until now the government is refusing to release nearly 600 Taliban prisoners it calls high-profile criminals and has offered to free alternatives.	目前，阿富汗政府拒绝释放其中约 600 名塔利班囚犯，并称之为高调犯罪者，但提议仅释放剩余的囚犯。	到目前为止，政府拒绝释放近 600 名塔利班囚犯，他们称这是高调的罪犯，并提供了免费的替代办法。	到目前为止，政府拒绝释放近 600 名塔利班囚犯，他们称他们为高调的罪犯，并提供了免费的替代办法。
The Taliban have refused.	塔利班方面则拒绝了政府的提议。	塔利班拒绝了。	塔利班拒绝了。
"The parties are closer than ever to the start of intra-Afghan negotiations, the key next step to ending Afghanistan's 40-year long war," said the U.S. State Department statement.	“这是历史上双方最接近开展内部谈判的一次机会，亦是结束 40 年之久阿富汗战争的下一步关键举措”，美国国务院表示，	美国国务院的声明说：“双方比以往任何时候都更接近阿富汗内部谈判的开始，这是结束阿富汗长达 40 年之久的战争的关键一步。”	美国国务院的声明说：“各方比以往任何时候都更接近阿富汗内部谈判的开始，这是结束阿富汗 40 年战争的关键下一步。”
"Although significant progress has been made on prisoner exchanges, the issue requires additional effort to fully resolve."	“虽然在交换囚犯方面取得了重要进展，但仍然需要进一步的努力才能解决问题。”	"虽然在交换囚犯方面取得了重大进展，但这一问题需要作出更多努力才能全面解决" 。	虽然在交换囚犯方面取得了重大进展，但这个问题需要更多的努力才能完全解决。 "
The Taliban's political spokesman earlier this week said it was ready to hold talks with Kabul's political leaders after the Islamic holiday of Eid al-Adha at the end of the month, providing the prisoner release is completed.	本周早些时候，塔利班的政治发言人表示，塔利班计划在月底古尔邦节（伊斯兰节日）结束后与喀布尔的政治领袖举行会谈，但前提是先要完成囚犯释放工作。	塔利班政治发言人本周早些时候说，它准备在本月末的伊斯兰节日宰牲节结束后与喀布尔的政治领导人举行会谈，提供囚犯释放。	塔利班政治发言人本周早些时候说，它准备在本月底伊斯兰节日宰牲节后与喀布尔的政治领导人举行会谈，并提供囚犯释放。
A big worry for Pakistan is the presence in Afghanistan of militants, particularly linked to the TTP or Jamaat-ul-Ahrar or Lashkar-e-Islam, as well as those with the Baluchistan Liberation Army, which has taken responsibility for high-profile attacks this month in the southern Sindh province as well as in southwestern Baluchistan Province.	最令巴基斯坦担忧的问题就是阿富汗境内的武装分子，尤其是与 TTP、Jamaat-ul-Ahrar、Lashkar-e-Islam 或俾路支解放军有关联的武装分子，俾路支解放军在该月对信德省南部及俾路支省西南部发动了规模袭击。	巴基斯坦的一大担忧是，阿富汗境内有一些好战分子，特别是与塔利班或伊斯兰祈祷团有关的好战分子，以及与路支省解放军有关的好战分子，路支省解放军本月对信德省南部和路支省西南部的高调袭击负有责任。	巴基斯坦的一大担忧是阿富汗境内存在武装分子，特别是与 TTP 、 Jamaat - ul - Ahrar 或 Lashkar - e - Islam 有关的武装分子，以及路支解放军（ Baluchistan Liberation Army ）的武装分子，后者本月在信德省南部以及路支省西南部发动了高调袭击。
Several Pakistan military personnel have been killed this month in southwestern Baluchistan province in battle with insurgents.	多名巴基斯坦军人在俾路支省西南部与武装分子的交战中牺牲。	本月，巴基斯坦西南部路支省与反叛分子作战时，几名巴基斯坦军事人员被杀。	几个巴基斯坦军事人员本月在西南路支省与叛乱分子作战时被杀。
The TTP took responsibility for one of the most horrific attacks in Pakistan in 2014, when a Pakistani army school was attacked and 140 were killed.	TTP 组织在 2014 年对巴基斯坦发动了极为恐怖的一次袭击，导致巴基斯坦陆军学院 140 人死亡，	TTP 对 2014 年巴基斯坦最可怕的袭击之一负责，当时巴基斯坦军队的一所学校遭到袭击， 140 人被杀。	TTP 对 2014 年巴基斯坦最可怕的一次袭击负责，当时巴基斯坦军队的一所学校遭到袭击， 140 人被杀。
Most were students, and some were as young as 5.	其中多数为学生，有的年仅 5 岁。	大多数是学生，有些是 5 岁的年轻人。	大多数是学生，有些是 5 岁的年轻人。
"The total number of Pakistani foreign terrorist fighters in Afghanistan, posing a threat to both countries, is estimated at between 6,000 and 6,500, most of them with TTP," the report said.	报告称，“驻扎在阿富汗的巴基斯坦境外恐怖势力威胁着两个国家的安全，粗略估计其人数为 6,000 至 6,500 人，其中大多数为 TTP 组织成员”。	报告说：“在阿富汗，对两国构成威胁的巴基斯坦外国恐怖主义战斗人员的总数估计在 6 ， 000 至 6 ， 500 人之间，其中大部分是 TTP 。	报告中说：“阿富汗境内对两国构成威胁的巴基斯坦外国恐怖主义战斗人员总数估计在 6000 至 6500 人之间，其中大部分是 TTP 。
Top British bank HSBC denies "setting up trap" for China's Huawei in US investigations - RT Business News	英国最大银行汇丰银行否认在美国调查中对中国企业华为“设陷阱”——RT 电视台商业新闻	英国顶级银行汇丰否认在美国调查中 “设置陷阱” 中国的华为	英国顶级银行汇丰银行 (HSBC) 否认中国华为在美国调查中 “设置陷阱”
London-headquartered multinational bank HSBC took to social media to say it was not, as Chinese media claimed, "fabricating evidence" against Huawei, which led to the arrest of the company's chief financial officer in Canada.	总部位于伦敦的跨国银行汇丰银行（HSBC）通过社交媒体表示，该行没有像中国媒体报道的那样针对华为“捏造证据”，导致华为首席财务官在加拿大被捕。	总部设在伦敦的跨国银行汇丰 (HSBC) 对社交媒体说，这并不像中国媒体所声称的那样，“编造证据” 反对华为，这导致了该公司在加拿大的首席财务官被捕。	总部设在伦敦的跨国银行汇丰银行 (HSBC) 对社交媒体说，这并不像中国媒体所声称的那样，“编造证据” 反对华为，这导致了该公司在加拿大的首席财务长被捕。
In a now-unavailable post on WeChat, the lender said that its actions did not trigger US investigations into the world's largest supplier of telecommunications network equipment, as the scrutiny of Huawei for allegedly violating US sanctions on Iran began well before the bank's involvement in late 2016.	一篇现已不可见的微信文章中写道，银行表示他们的行为并没有引发美国对这家全球最大的电信网络设备供应商展开调查，因为对华为涉嫌违反美国对伊朗制裁的审查早在银行介入之前的 2016 年下半年就已经开始。	出贷人说，它的行动并没有触发美国对世界上最大的电信网络设备供应商的调查，因为华为涉嫌违反美国对伊朗的制裁，在 2016 年底银行介入之前就开始了。	在微信上发布的一篇目前不可用的帖子中，贷款人表示，其行为并未触发美国对全球最大电信网络设备供应商的调查，因为华为涉嫌违反美国对伊朗制裁的审查早在 2016 年底银行介入之前就已经开始。
"HSBC does not have any hostility towards Huawei and did not "frame" Huawei," the bank said on Saturday, adding that it would never distort any facts about its clients.	银行于周六表示，“汇丰银行对华为没有任何敌意，不存在‘构陷’华为”的情况，并补充说绝不会扭曲有关客户的任何事实。	该银行在上周六表示，“汇丰对华为没有任何敌意，也没有 “框架” 华为。	该银行周六表示：“汇丰银行对华为没有任何敌意，也没有 “陷害” 华为，并补充说，它不会歪曲有关客户的任何事实。
"In response to US DOJ's [US Justice Department] requests for information, HSBC Group simply presented the objective facts.	“为了对美国司法部（US DOJ）要求提供的信息做出回应，汇丰集团只是陈述了客观事实。	“为回应美国司法部 [ 美国司法部] 的信息要求，汇丰集团只提供了客观事实。	" 为了回应美国司法部 [美国司法部] 关于提供信息的要求，汇丰银行集团只是提供了客观事实。
HSBC did not "fabricate" evidence or "hide" facts."	汇丰银行既没有‘捏造’证据，也没有‘掩盖’事实。”	汇丰银行没有 “编造” 证据或 “隐瞒” 事实。	汇丰银行没有 “编造” 证据或 “隐瞒” 事实。
The post has been blocked on the platform with a note that it "violates regulations" and is not available now.	平台屏蔽了这篇文章，提示其“违反规定”，目前已经看不到文章内容。	该职位在平台上被封锁，并指出它 "违反了规章" ，现在还没有。	该职位在平台上被封锁，并注意到它 "违反条例" ，现在还没有。
The statement comes shortly after multiple Chinese media outlets, including state-linked newspapers, accused HSBC of "conspiring" with Washington to set a trap for Huawei.	在多家中国媒体（包括有政府背景的报社）指责汇丰银行与华盛顿“密谋串通”为华为设下陷阱后，汇丰银行迅速作出这一说明。	该声明不久后，包括国有报纸在内的多家中国媒体都指责汇丰 “阴谋” 与华盛顿 “阴谋”，为华为设置了陷阱。	该声明是在包括国有报纸在内的多家中国媒体发布后不久发表的，他们指责汇丰银行 “阴谋” 与华盛顿为华为设置陷阱。
The company has been at the epicenter of a diplomatic scandal for more than a year and a half since Huawei CFO Meng Wanzhou was arrested in December 2018 in Canada on a warrant from the US.	2018 年 12 月，加拿大警方应美国相关部门要求拘捕华为首席财务官孟晚舟，此后一年半的时间里，这家公司一直是外交新闻的焦点。	该公司在外交丑闻的震中已经超过一年半，因为华为 CFO Meng Wanzhou 于 2018 年 12 月根据美国的逮捕令在加拿大被捕。	自 2018 年 12 月华为首席财务官孟晚舟因美国逮捕令在加拿大被捕以来，该公司已成为外交丑闻的中心一年半。
Meng faces fraud charges for allegedly using a shell company to violate sanctions against Iran and allegedly lying to banks about the link between Huawei and Iranian company Skycom.	孟晚舟涉嫌利用空壳公司违反对伊朗的制裁，并且向银行隐瞒华为与伊朗公司 Skycom 之间的关系，因而面临欺诈指控。	孟蒙被控利用空壳公司违反对伊朗的制裁而面临欺诈指控，据称他向银行撒谎说华为与伊朗公司 Skycom 之间的联系。	Meng 被控利用空壳公司违反对伊朗的制裁，并据称就华为与伊朗公司 Skycom 之间的联系向银行撒谎。
According new evidence cited by the Global Times, HSBC was well aware of the Chinese company's relationship with Skycom.	《环球时报》援引的新证据显示，汇丰银行此前非常清楚这家中国公司与 Skycom 之间的关系。	根据《环球时报》引用的新证据，汇丰 (HSBC) 很清楚中国公司与 Skycom 的关系。	根据《环球时报》引用的新证据，汇丰银行很清楚中国公司与 Skycom 的关系。
The bank reportedly opted to "collude" with the US government to escape more severe punishment in 2012, when the bank had to admit to money laundering and sanctions violations, including restrictions on Iran.	据报道，该行选择与美国政府“勾结”，为的是逃避在 2012 年受到的更严厉的处罚，当年汇丰银行被迫承认洗钱和违反制裁，其中就包括对伊朗的禁令。	据报道，该银行选择与美国政府 “串通”，在 2012 年逃避更严厉的惩罚，当时银行不得不承认洗钱和违反制裁的行为，包括对伊朗的限制。	据报道，该银行选择与美国政府 “勾结”，以逃避 2012 年更严厉的惩罚，当时银行不得不承认洗钱和违反制裁的行为，包括对伊朗的限制。
It was ordered at the time to pay around $1.9 billion in penalties and to prevent any similar misconduct.	当时该行被勒令缴纳约 19 亿美元罚金，并需要采取措施防范类似不当行为。	当时它被命令支付约 19 亿美元的罚款，并防止任何类似的不当行为。	当时命令它支付约 19 亿美元的罚款，并防止任何类似的不当行为。
"The evidence indicated that HSBC understood this relationship but intentionally sold out its customer's confidential business documents to the US side so that the US government could overlook the British bank's own misconduct and not punish it under the 2012 Deferred Prosecution Agreement," the newspaper said in one of its articles on the matter.	在一篇针对此事件的文章中该报写道：“有证据表明，汇丰银行清楚地知道这一层关系，但刻意将客户的机密商业文件出售给美方，为的就是让美国政府忽略这家英国银行自身的不当行为，逃避根据 2012《暂缓起诉协议》应受的处罚。”	该报纸在其一篇关于此事的文章中表示：“证据表明，汇丰银行理解了这一关系，但故意将其客户的机密商业文件卖给了美国方面，这样美国政府就可以忽略英国银行自己的不当行为，而不是根据 2012 年推迟起诉协议来惩罚它。	“证据表明，汇丰银行理解这一关系，但故意将其客户的机密商业文件出售给美方，以便美国政府可以忽视英国银行自身的不当行为，而不是根据 2012 年递延起诉协议对其进行惩罚，” 该报在一篇关于此事的文章中说。
In a veiled warning, the Beijing-controlled newspaper added that the lender, if proven to be guilty of this "collusion," could face "harsh punishment" in China, one of the major markets for HSBC.	这份由中国政府控制的报纸在公开警告中补充表示，如果证实银行存在“勾结”行为，可能会在中国（汇丰的主要市场之一）对其施以“严厉处罚”。	在一个含蓄的警告中，北京控制的报纸补充说，如果被证明犯有这种 “串通” 罪，出贷人可能会面临中国的 “严厉惩罚”，这是汇丰的主要市场之一。	在一个含蓄的警告中，北京控制的报纸补充说，如果被证明犯有这种 “串通行为”，出贷人可能会面临中国的 “严厉惩罚”，而中国是汇丰银行的主要市场之一。
It is not the first time the renowned bank has come under fire in recent weeks.	最近几周，这家知名银行已多次受到责难。	这并不是著名银行最近几周首次出现火灾。	这并不是著名银行最近几周首次遭到解雇。
Last month, HSBC was lambasted for supporting the new national security law for Hong Kong, the city where its business started and which accounts for over half of its profits.	上个月，汇丰银行因支持在香港实施新国家安全法而受到抨击，香港是汇丰的业务发源地，贡献了一半以上的利润。	上个月，汇丰 (HSBC) 因支持香港的新国家安全法而受到抨击。香港的业务开始于香港，占其利润的一半以上。	上个月，汇丰银行 (HSBC) 为支持香港新的国家安全法而被解雇，香港是其业务开始的城市，其利润占其利润的一半以上。
The bank faced criticism from both sides - from the West, with US Secretary of State Mike Pompeo calling the endorsement a "corporate kowtow," and the East, with the Chinese side reportedly saying that its support was "belated."	汇丰银行陷入了两面不讨好的窘境：在西方，美国国务卿 Mike Pompeo 称其“卑躬屈膝”；在东方，中国媒体则表示其支持“姗姗来迟”。	该银行面临着来自西方的批评 — — 来自西方的批评，美国国务卿庞培 (Mike Pomepo) 称，该银行的支持率为 “公司头”，而中国方面则表示，其支持 “来迟”。	该银行面临着来自双方的批评 — — 来自西方，美国国务卿蓬佩奥称这是 “企业卑屈膝”，而东方，据报道，中国方面称其支持 “来迟”。
Angola: Pedalé Hospital Assigned to Health Ministry	安哥拉：Pedalé 医院移交卫生部监管	安哥拉：分配给卫生部的 Pedal  医院	安哥拉： Pedal ó 医院分配给卫生部
Luanda - The President of the Republic, João Lourenço, determined this Friday the transfer of the supervision of the Pedro Maria Tonha Pedalé Hospital, under construction in Luanda, to the sphere of the Ministry of Health.	罗安达——共和国总统 João Lourenço 于本周五决定，将位于罗安达正在建设中的 Pedro Maria Tonha Pedalé 医院的监管权移交卫生部。	罗安达 -- -- 共和国总统若昂・洛伦索本周五决定，将正在罗安达建造的佩德罗・玛丽亚・通哈・佩达莱医院的监督权移交给卫生部。	罗安达 ---- 共和国总统若昂・洛伦索星期五决定将在罗安达建造的 Pedro Maria Tonha Pedal ó 医院的监督工作移交给卫生部。
In a note, the Press Office of the President of the Republic informs that the measure aims to materialize the Government principle of construction and expansion of the network of public hospitals to ensure better medical care and medication to the population.	共和国总统新闻办公室在一份声明文件中表示，此举旨在落实政府的建设原则，扩大医院网络，确保公众得到更好的医疗和药品服务。	在一份说明中，共和国总统新闻办公室通报说，这项措施的目的是落实政府的原则，即建立和扩大公立医院网络，以确保向人民提供更好的医疗和药品。	共和国总统新闻办公室在一份说明中指出，这项措施旨在落实政府关于建设和扩大公立医院网络的原则，以确保向民众提供更好的医疗和药品。
"In this specific case, the idea is to make available to Angolans a reference hospital, differentiated and equipped with modern technology and high precision in the diagnosis and treatment of diseases of high complexity," the document reads.	文件还提到，“在当前特殊情况下，该措施使得安哥拉人民能够拥有一家差异化的具有参考价值的医院，它配备有现代技术和用于诊断及治疗复杂疾病的精密仪器。”	该文件写道： "在这种特殊情况下，想法是向安哥拉人提供一个参考医院，有区别，配备了现代技术，并在诊断和治疗高度复杂的疾病方面有很高的准确性" 。	"在这一具体情况下，这一想法是向安哥拉人提供一个参考医院，在诊断和治疗高度复杂的疾病方面有区别和配备现代技术和高精度" ，该文件写道。
It stresses that the decision of the Angolan Head of State also takes into account the demographic growth of the country, which has motivated a "huge demand" for quality health services in the most diverse specialties.	文中强调，安哥拉总统的决定也考虑到了该国人口的增长，这推动了人们对最为多样化的高质量保健服务的“庞大需求”。	它强调，安哥拉国家元首的决定也考虑到了该国的人口增长，这促使人们对各种专业的优质保健服务产生了 "巨大需求" 。	它强调，安哥拉国家元首的决定还考虑到该国的人口增长，这促使人们对最多样化专业的优质保健服务提出了 "巨大需求" 。
This demand, the note continues, justifies with the inclusion in the hospital specialized for the treatment of complex diseases, teaching and research, interventions related to ophthalmology and maternal-infant medicine, areas whose strategy and management deserve to be under the responsibility of the Ministry of Health.	文件还指出，这一需求十分合理，因为医院囊括了与眼科和母婴医学相关的复杂疾病治疗、教学研究和干预，而这些领域的策略和管理理应属于卫生部的责任范畴。	该说明继续指出，这一要求的理由是，在医院中纳入了专门治疗复杂疾病、教学和研究、与眼科有关的干预措施以及产妇 - 婴儿医学，这些领域的战略和管理应当由卫生部负责。	该说明继续指出，这一要求是合理的，因为它被纳入专门治疗复杂疾病、教学和研究、与眼科和母婴医学有关的干预措施的医院，这些领域的战略和管理理应由卫生部负责。
Algeria: Mahmoud Guemama's Death - Algeria Loses a Patriot, Committed Militant, Says President Tebboune.	阿尔及利亚：Tebboune 总统哀悼 Mahmoud Ghamama——阿尔及利亚痛失一位爱国者，一名坚定的战士。	阿尔及利亚： Mahmoud Guemama 的死亡 ---- 阿尔及利亚，一个爱国者，承诺的好战分子，总统特布布恩。	阿尔及利亚： Mahmoud Guemama 之死 ---- 阿尔及利亚，一个爱国者，坚定的激进组织，塞总统特布恩。
